y (m),u_x (m/s) @ x=1.000
0.0,3.995220006128398e-11
0.001,0.039568969135890614
0.002,0.07837146112878891
0.003,0.11640747597869482
0.004,0.15367701368560832
0.005,0.19018007424952943
0.006,0.2259166576704582
0.007,0.2608867639483946
0.008,0.29509039308333856
0.009000000000000001,0.3285399560702914
0.01,0.36128518581314584
0.011,0.3933310644946799
0.012,0.4246775921148936
0.013000000000000001,0.4553247686737869
0.014,0.4852725941713598
0.015,0.5145210686076124
0.016,0.5430701919825445
0.017,0.5709219280099954
0.018000000000000002,0.5981227184029486
0.019,0.6246908747332974
0.02,0.6506263970010421
0.021,0.6759292852061823
0.022,0.7005995393487183
0.023,0.7246371594286499
0.024,0.7480421454459771
0.025,0.7708144974007004
0.026000000000000002,0.7929817809905205
0.027,0.8145831735972421
0.028,0.8356186752208647
0.029,0.8560882858613889
0.03,0.8759920055188138
0.031,0.8953298341931402
0.032,0.9141017718843676
0.033,0.9323078185924961
0.034,0.949958428510083
0.035,0.9671040128779737
0.036000000000000004,0.9837504722673138
0.037,0.9998978066781036
0.038,1.0155460161103431
0.039,1.0306951005640326
0.04,1.0453450600391714
0.041,1.05949589453576
0.042,1.0731487878744317
0.043000000000000003,1.08634945855107
0.044,1.0991178062620337
0.045,1.1114538310073223
0.046,1.1233575327869363
0.047,1.1348289116008752
0.048,1.1458679674491394
0.049,1.1564747003317286
0.05,1.1666491102486434
0.051000000000000004,1.17641564979429
0.052000000000000005,1.185816731374933
0.053,1.1948523549905723
0.054,1.2035225206412077
0.055,1.2118272283268396
0.056,1.2197664780474677
0.057,1.2273402698030922
0.058,1.234548603593713
0.059000000000000004,1.2413990573739735
0.06,1.2479436235403933
0.061,1.2541896693904195
0.062,1.2601371949240519
0.063,1.26578620014129
0.064,1.2711366850421342
0.065,1.2761886496265846
0.066,1.2809420938946408
0.067,1.2853956716305526
0.068,1.289593103862504
0.069,1.2935596166439651
0.07,1.2972952099749364
0.07100000000000001,1.3007998838554173
0.07200000000000001,1.3040736382854088
0.073,1.3071164732649097
0.074,1.3099283887939208
0.075,1.3125093848724416
0.076,1.3148787035338096
0.077,1.3170812758959403
0.078,1.3191171019588337
0.079,1.32098618172249
0.08,1.3226885151869086
0.081,1.32422410235209
0.082,1.3255929432180342
0.083,1.3267950377847408
0.084,1.3277979229267693
0.085,1.3286945273527082
0.08600000000000001,1.3295164220544506
0.08700000000000001,1.3302636070319966
0.088,1.3309360822853464
0.089,1.3315338478144998
0.09,1.332056903619457
0.091,1.3325052497002172
0.092,1.3328379916148358
0.093,1.3330420668482141
0.094,1.3332131802476672
0.095,1.3333513318131953
0.096,1.3334565215447982
0.097,1.333528749442476
0.098,1.3335680155062288
0.099,1.3335743197360563
0.1,1.333547662131959
0.101,1.333574319736056
0.10200000000000001,1.3335680155062284
0.10300000000000001,1.3335287494424752
0.10400000000000001,1.333456521544797
0.105,1.3333513318131938
0.106,1.333213180247665
0.107,1.3330420668482108
0.108,1.3328379916148319
0.109,1.3325052497002117
0.11,1.3320569036194496
0.111,1.3315338478144918
0.112,1.330936082285337
0.113,1.3302636070319869
0.114,1.3295164220544404
0.115,1.328694527352698
0.116,1.327797922926759
0.117,1.3267950377847304
0.11800000000000001,1.3255929432180245
0.11900000000000001,1.324224102352081
0.12,1.3226885151869003
0.121,1.3209861817224824
0.122,1.3191171019588268
0.123,1.317081275895934
0.124,1.3148787035338036
0.125,1.3125093848724358
0.126,1.3099283887939146
0.127,1.3071164732649034
0.128,1.3040736382854023
0.129,1.3007998838554111
0.13,1.29729520997493
0.131,1.2935596166439587
0.132,1.289593103862497
0.133,1.2853956716305457
0.134,1.2809420938946348
0.135,1.2761886496265786
0.136,1.2711366850421286
0.137,1.2657862001412845
0.138,1.260137194924046
0.139,1.2541896693904135
0.14,1.2479436235403867
0.14100000000000001,1.241399057373966
0.14200000000000002,1.234548603593704
0.14300000000000002,1.2273402698030815
0.14400000000000002,1.2197664780474557
0.145,1.2118272283268265
0.146,1.203522520641194
0.147,1.1948523549905583
0.148,1.1858167313749188
0.149,1.1764156497942762
0.15,1.16664911024863
0.151,1.156474700331716
0.152,1.1458679674491274
0.153,1.1348289116008639
0.154,1.1233575327869254
0.155,1.1114538310073117
0.156,1.099117806262023
0.157,1.0863494585510591
0.158,1.0731487878744206
0.159,1.0594958945357487
0.16,1.04534506003916
0.161,1.0306951005640208
0.162,1.0155460161103314
0.163,0.9998978066780916
0.164,0.9837504722673014
0.165,0.9671040128779611
0.166,0.9499584285100705
0.167,0.9323078185924834
0.168,0.9141017718843556
0.169,0.8953298341931287
0.17,0.8759920055188031
0.171,0.8560882858613783
0.17200000000000001,0.8356186752208548
0.17300000000000001,0.8145831735972323
0.17400000000000002,0.7929817809905109
0.17500000000000002,0.7708144974006906
0.176,0.7480421454459691
0.177,0.7246371594286425
0.178,0.7005995393487114
0.179,0.6759292852061759
0.18,0.650626397001036
0.181,0.6246908747332915
0.182,0.5981227184029427
0.183,0.5709219280099895
0.184,0.5430701919825378
0.185,0.5145210686076058
0.186,0.48527259417135354
0.187,0.45532476867378086
0.188,0.42467759211488787
0.189,0.3933310644946745
0.19,0.3612851858131408
0.191,0.3285399560702867
0.192,0.29509039308333473
0.193,0.26088676394839116
0.194,0.2259166576704552
0.195,0.19018007424952704
0.196,0.15367701368560646
0.197,0.11640747597869362
0.198,0.07837146112878839
0.199,0.039568969135890884
0.2,3.995350524323689e-11
