y (m), ux (m/s)
1.226130653266331721e-01,1.318025971282839715e+00
1.236180904522613255e-01,1.315883157812475446e+00
1.246231155778894650e-01,1.313526435847299334e+00
1.256281407035176045e-01,1.310762398313989330e+00
1.266331658291457440e-01,1.307701918049568812e+00
1.276381909547738835e-01,1.304468772376730312e+00
1.286432160804020230e-01,1.301062961295473830e+00
1.296482412060301626e-01,1.297484484805799809e+00
1.306532663316583021e-01,1.293733342907707140e+00
1.316582914572864416e-01,1.289809535601196933e+00
1.326633165829145811e-01,1.285713062886268743e+00
1.336683417085427206e-01,1.281462053014334801e+00
1.346733668341708601e-01,1.276967797730277576e+00
1.356783919597989996e-01,1.272140622278006283e+00
1.366834170854271391e-01,1.266980526657520256e+00
1.376884422110552786e-01,1.261487510868820605e+00
1.386934673366834181e-01,1.255661574911906886e+00
1.396984924623115853e-01,1.249502718786778432e+00
1.407035175879397249e-01,1.243010942493436133e+00
1.417085427135678644e-01,1.236183299990568418e+00
1.427135678391960039e-01,1.228945464968386636e+00
1.437185929648241434e-01,1.221356444048198764e+00
1.447236180904522829e-01,1.213416237230005468e+00
1.457286432160804224e-01,1.205124844513806526e+00
1.467336683417085619e-01,1.196482265899601716e+00
1.477386934673367014e-01,1.187488501387391926e+00
1.487437185929648409e-01,1.178143550977176268e+00
1.497487437185929804e-01,1.168447414668954965e+00
1.507537688442211199e-01,1.158376015515900859e+00
1.517587939698492594e-01,1.147865050583354085e+00
1.527638190954773989e-01,1.136911066344179710e+00
1.537688442211055384e-01,1.125514062798378179e+00
1.547738693467336779e-01,1.113674039945948824e+00
1.557788944723618174e-01,1.101390997786891868e+00
1.567839195979899569e-01,1.088664936321207310e+00
1.577889447236180964e-01,1.075495855548895596e+00
1.587939698492462359e-01,1.061868363149179650e+00
1.597989949748743754e-01,1.047737880345857464e+00
1.608040201005025427e-01,1.033107079713724952e+00
1.618090452261306822e-01,1.017975961252781891e+00
1.628140703517588217e-01,1.002344524963028505e+00
1.638190954773869612e-01,9.862127708444649032e-01
1.648241206030151007e-01,9.695806988970905316e-01
1.658291457286432402e-01,9.524483091209061669e-01
1.668341708542713797e-01,9.348130487427721569e-01
1.678391959798995192e-01,9.166229313858056393e-01
1.688442211055276587e-01,8.978608814268964622e-01
1.698492462311557982e-01,8.785268988660451805e-01
1.708542713567839377e-01,8.586209837032512393e-01
1.718592964824120772e-01,8.381431359385148605e-01
1.728643216080402167e-01,8.170933555718362662e-01
1.738693467336683562e-01,7.954716426032150123e-01
1.748743718592964957e-01,7.732779970326510988e-01
1.758793969849246352e-01,7.504771142983411858e-01
1.768844221105527748e-01,7.270375022095441064e-01
1.778894472361809143e-01,7.029600873921753035e-01
1.788944723618090538e-01,6.782448698462347769e-01
1.798994974874371933e-01,6.528918495717221937e-01
1.809045226130653328e-01,6.269010265686377759e-01
1.819095477386934723e-01,6.002724008369814124e-01
1.829145728643216395e-01,5.730059723767526592e-01
1.839195979899497790e-01,5.450847486171189749e-01
1.849246231155779185e-01,5.164598542562031103e-01
1.859296482412060580e-01,4.871292872861474055e-01
